,,,,,,,,,,,,,,,URL REFERENCIAL,,,
DATA DE ATUALIZAÇÃO,,,,SITUAÇÃO,AGUARDANDO,,,VALOR TOTAL ESTIMADO:,,,,,,,,,,
CÓDIGO UNIVALI,,ITEM ,,CATEGORIA,,QUANTIDADE,,UNIDADES,,ESPECIFICAÇÃO,,,,,,,,Value
,,Chapa De mdf,,ARTESANATO,,10,,UNIDADES,,Chapa de mdf 3 MM Cru 40x60,,,,,https://www.madeiramadeira.com.br/kit-10-chapas-de-mdf-cru-3mm-30cm-x-40cm-x-3mm-placa-decoracao-chapa-para-adesivo-sublimacao-296526220.html?,,,"R$ 0,00"
,,Rolo de papel aluminio,,ARTESANATO,,1,,UNIDADES,,Rolo Bobina Papel Alumínio 30cm X 100 Metros,,,,,https://www.amazon.com.br/Rolo-Bobina-Papel-Alumínio-Metros/dp/B0BDST69VJ/ref=asc_df_B0BDST69VJ/?tag=googleshopp00-20&linkCode=df0&hvadid=557926986208&hvpos=&hvnetw=g&hvrand=5674809136111542060&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9102254&hvtargid=pla-1810284933006&psc=1,,,"R$ 0,00"
,,Arame,,ARTESANATO,,1,,UNIDADES,,"Rolo de Arame Galvanizado 20 Metros 0,89MM",,,,,https://www.amazon.com.br/ARAME-GALVANIZ-20-0-89MM-ROLO/dp/B0778YB53M/ref=d_pd_sbs_sccl_3_1/145-0689992-2842314?pd_rd_w=B0wog&content-id=amzn1.sym.bc536bd6-e72b-44eb-9471-0bedf0517c03&pf_rd_p=bc536bd6-e72b-44eb-9471-0bedf0517c03&pf_rd_r=R15RCZDP7PHQXM9X0XFG&pd_rd_wg=DgmA7&pd_rd_r=d211343a-df06-4268-ba45-1fc26aa1c252&pd_rd_i=B0778YB53M&psc=1,,,"R$ 0,00"
,,Arame ,,ARTESANATO,,2,,UNIDADES,,"Rolo de arame galvanizado 5 metros 1,65 MM",,,,,https://www.amazon.com.br/ARAME-GALVANIZADO-16-65MM-ROLO/dp/B07SXD472G?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1ZZFT5FULY4LN,,,"R$ 0,00"
,,Arame,,ARTESANATO,,2,,UNIDADES,,"Rolo de Arame galvanizado 5 metros 2,10 MM",,,,,https://www.amazon.com.br/ARAME-GALVANIZADO-14-10MM-ROLO/dp/B07SW82Y9H/ref=asc_df_B07SW82Y9H/?tag=googleshopp00-20&linkCode=df0&hvadid=379708135353&hvpos=&hvnetw=g&hvrand=1134261349044878584&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9102254&hvtargid=pla-1825406780779&psc=1,,,"R$ 0,00"
880600060,,Tecido,,ARTESANATO,,4,,METROS,,"Tecido algodão preto largura de 1,4m",,,,,https://www.maximustecidos.com.br/tecido-tricoline-com-elastano-preto-8329/p,,,"R$ 0,00"
880600060,,Tecido,,ARTESANATO,,4,,METROS,,"Tecido algodão branco largura de 1,4m",,,,,https://www.maximustecidos.com.br/tecido-tricoline-com-elastano-branco-8327/p,,,"R$ 0,00"
880600060,,Tecido,,ARTESANATO,,3,,METROS,,"Tecido Algodão vermelho 1,4m",,,,,https://www.maximustecidos.com.br/tecido-algodao-rustico-com-elastano-vermelho-escuro-628/p,,,"R$ 0,00"
880600060,,Tecido,,ARTESANATO,,3,,METROS,,"Tecido algodão Azul 1,4m",,,,,https://www.maximustecidos.com.br/tecido-tricoline-com-elastano-azul-celeste-8331/p,,,"R$ 0,00"
880600060,,Tecido,,ARTESANATO,,3,,METROS,,"Tecido Algodão Amarelo 1,4m",,,,,https://www.maximustecidos.com.br/tecido-tricoline-100--algodao-amarelo-claro-967/p,,,"R$ 0,00"
